Id_db,File,System,Version,Package,Release,Class,ExcessiveInterlangCommunication,Too much clustring,Too much Scattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,FilePath
1,org_opendds_jms_DCPSInfoRepo.cpp,OpenDDS,Snap_ 35,nan,,nan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_35\java\jms\native\org_opendds_jms_DCPSInfoRepo.cpp
2,idl2jni_runtime.cpp,OpenDDS,Snap_ 35,nan,,nan,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_35\java\idl2jni\runtime\idl2jni_runtime.cpp
3,i2jrt_ORB.cpp,OpenDDS,Snap_ 35,nan,,nan,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_35\java\idl2jni\runtime\i2jrt_ORB.cpp
4,OpenDDS_jni_helpers.h,OpenDDS,Snap_ 35,nan,,nan,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_35\java\dds\OpenDDS_jni_helpers.h
5,OpenDDS_DCPS_jni.cpp,OpenDDS,Snap_ 35,nan,,nan,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_35\java\dds\OpenDDS_DCPS_jni.cpp
6,i2jrt_TAOObject.cpp,OpenDDS,Snap_ 35,nan,,nan,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_35\java\idl2jni\runtime\i2jrt_TAOObject.cpp
7,ConsumerDataReaderListener.java,OpenDDS,Snap_ 35,org.opendds.jms,,ConsumerDataReaderListener,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_35\java\jms\src\org\opendds\jms\ConsumerDataReaderListener.java
8,StructKeyParserProvider.java,OpenDDS,Snap_ 35,org.opendds.modeling.diagram.datalib.providers,,StructKeyParserProvider,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_35\tools\modeling\plugins\org.opendds.modeling.diagram.datalib\src\org\opendds\modeling\diagram\datalib\providers\StructKeyParserProvider.java
9,ResourceAdapterImpl.java,OpenDDS,Snap_ 35,org.opendds.jms.resource,,ResourceAdapterImpl,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_35\java\jms\src\org\opendds\jms\resource\ResourceAdapterImpl.java
10,StructFieldsEditPart.java,OpenDDS,Snap_ 35,org.opendds.modeling.diagram.datalib.edit.parts,,StructFieldsEditPart,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_35\tools\modeling\plugins\org.opendds.modeling.diagram.datalib\src\org\opendds\modeling\diagram\datalib\edit\parts\StructFieldsEditPart.java
