Id_db,File,System,Version,Package,Release,Class,ExcessiveInterlangCommunication,Too much clustring,Too much Scattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,FilePath
1,callback-jni.cc,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\bindings\java\src\callback-jni.cc
2,graphics-jni.cc,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\bindings\java\src\graphics-jni.cc
3,utils.cc,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\bindings\java\src\utils.cc
4,core-jni.cc,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,D:/Mona/new-downloads/vlc_snapshots/vlc_32\bindings\java\src\core-jni.cc
5,JVLC.java,vlc,Snap_ 32,org.videolan.jvlc,,JVLC,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\bindings\java\org\videolan\jvlc\JVLC.java
6,playlist-jni.cc,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,D:/Mona/new-downloads/vlc_snapshots/vlc_32\bindings\java\src\playlist-jni.cc
7,vlm-jni.cc,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,D:/Mona/new-downloads/vlc_snapshots/vlc_32\bindings\java\src\vlm-jni.cc
8,VlcClient.java,vlc,Snap_ 32,nan,,VLCPlayerFrame,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\bindings\java\VlcClient.java
9,rc.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\modules\control\rc.c
10,test4.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\modules\misc\testsuite\test4.c
11,rootwrap.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\src\network\rootwrap.c
12,ext.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\libs\loader\ext.c
13,fake.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\modules\codec\fake.c
14,portaudio.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\modules\audio_output\portaudio.c
15,smb.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\modules\access\smb.c
16,effects.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\modules\visualization\visual\effects.c
17,gradient.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\modules\video_filter\gradient.c
18,info.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\modules\access\cdda\info.c
19,motion_comp_mmx.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\modules\codec\xvmc\motion_comp_mmx.c
20,equalizer.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\modules\audio_filter\equalizer.c
21,meta.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\src\input\meta.c
22,viewobject.cpp,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\activex\viewobject.cpp
23,media_list.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\src\control\media_list.c
24,httpd.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\src\network\httpd.c
25,intf.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\modules\codec\cmml\intf.c
26,playlist.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\src\control\playlist.c
27,vlc_mediacontrol.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\bindings\python\vlc_mediacontrol.c
28,playlist_manager.cpp,vlc,Snap_ 32,wxvlc,,nan,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\modules\gui\wxwidgets\playlist_manager.cpp
29,info.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\modules\access\vcdx\info.c
30,alphamask.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\modules\video_filter\alphamask.c
31,vlcshell.cpp,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\mozilla\vlcshell.cpp
32,vlccontrol2.cpp,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\activex\vlccontrol2.cpp
33,win32.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\libs\loader\win32.c
34,marq.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\modules\video_filter\marq.c
35,registry.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\libs\loader\registry.c
36,fileinfo.cpp,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\modules\gui\wince\fileinfo.cpp
37,InterfaceWindow.cpp,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\modules\gui\beos\InterfaceWindow.cpp
38,vlm.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\src\control\vlm.c
39,macosx_graphics.cpp,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\modules\gui\skins2\macosx\macosx_graphics.cpp
40,puzzle.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\modules\video_filter\puzzle.c
41,flac.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\modules\codec\flac.c
42,media_instance.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\src\control\media_instance.c
43,osdmenu.c,vlc,Snap_ 32,nan,,nan,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_32\modules\video_filter\osdmenu.c
