Id_db,File,System,Version,Package,Release,Class,ExcessiveInterlangCommunication,Too much clustring,Too much Scattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,FilePath
1,var.c,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\src\input\var.c
2,intf.c,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\src\audio_output\intf.c
3,coreaudio.c,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\modules\audio_output\coreaudio.c
4,rc.c,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\modules\control\rc.c
5,test4.c,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\modules\misc\testsuite\test4.c
6,bookmarks.cpp,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\modules\gui\wxwindows\bookmarks.cpp
7,csa.c,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\modules\mux\mpeg\csa.c
8,playlist.cpp,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\modules\gui\skins\controls\playlist.cpp
9,effects.c,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\modules\visualization\visual\effects.c
10,access.c,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\modules\access\cdda\access.c
11,input.c,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\src\audio_output\input.c
12,pda_callbacks.c,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\modules\gui\pda\pda_callbacks.c
13,theme_loader.cpp,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\modules\gui\skins2\src\theme_loader.cpp
14,display.c,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\modules\gui\gtk\display.c
15,interface.c,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\src\interface\interface.c
16,vlcshell.cpp,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\mozilla\vlcshell.cpp
17,equalizer.c,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\modules\audio_filter\equalizer.c
18,intf.c,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\modules\codec\cmml\intf.c
19,directx.c,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\modules\video_output\directx\directx.c
20,access.c,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\modules\access\vcdx\access.c
21,svg.c,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\modules\misc\svg.c
22,vlcproc.cpp,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\modules\gui\skins2\src\vlcproc.cpp
23,video_output.c,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\src\video_output\video_output.c
24,postprocessing_mmxext.c,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\modules\codec\ffmpeg\postprocessing\postprocessing_mmxext.c
25,vlcproc.cpp,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\modules\gui\skins\src\vlcproc.cpp
26,vlc.c,vlc,Snap_ 20,nan,,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_20\evc\vlc.c
