Id_db,File,System,Version,Package,Release,Class,ExcessiveInterlangCommunication,Too much clustring,Too much Scattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,FilePath
1,graphics-jni.cc,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\bindings\java\src\graphics-jni.cc
2,utils.cc,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\bindings\java\src\utils.cc
3,core-jni.cc,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,D:/Mona/new-downloads/vlc_snapshots/vlc_29\bindings\java\src\core-jni.cc
4,JVLC.java,vlc,Snap_ 29,org.videolan.jvlc,,JVLC,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\bindings\java\org\videolan\jvlc\JVLC.java
5,playlist-jni.cc,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,D:/Mona/new-downloads/vlc_snapshots/vlc_29\bindings\java\src\playlist-jni.cc
6,vlm-jni.cc,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,D:/Mona/new-downloads/vlc_snapshots/vlc_29\bindings\java\src\vlm-jni.cc
7,var.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\src\input\var.c
8,intf.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\src\audio_output\intf.c
9,VlcClient.java,vlc,Snap_ 29,nan,,VLCPlayerFrame,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\bindings\java\VlcClient.java
10,rc.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\modules\control\rc.c
11,test4.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\modules\misc\testsuite\test4.c
12,rootwrap.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\src\network\rootwrap.c
13,swscale.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\modules\video_filter\swscale\swscale.c
14,ext.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\loader\ext.c
15,portaudio.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\modules\audio_output\portaudio.c
16,smb.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\modules\access\smb.c
17,effects.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\modules\visualization\visual\effects.c
18,info.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\modules\access\cdda\info.c
19,motion_comp_mmx.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\modules\codec\xvmc\motion_comp_mmx.c
20,equalizer.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\modules\audio_filter\equalizer.c
21,viewobject.cpp,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\activex\viewobject.cpp
22,httpd.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\src\network\httpd.c
23,intf.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\modules\codec\cmml\intf.c
24,playlist.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\src\control\playlist.c
25,vlc_mediacontrol.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\bindings\python\vlc_mediacontrol.c
26,engine.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\src\playlist\engine.c
27,playlist_manager.cpp,vlc,Snap_ 29,wxvlc,,nan,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\modules\gui\wxwidgets\playlist_manager.cpp
28,info.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\modules\access\vcdx\info.c
29,yuv2rgb_template.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\modules\video_filter\swscale\yuv2rgb_template.c
30,vlm.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\src\misc\vlm.c
31,vlcshell.cpp,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\mozilla\vlcshell.cpp
32,win32.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\loader\win32.c
33,playlist.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\modules\misc\testsuite\playlist.c
34,video_output.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\src\video_output\video_output.c
35,marq.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\modules\video_filter\marq.c
36,registry.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\loader\registry.c
37,fileinfo.cpp,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\modules\gui\wince\fileinfo.cpp
38,vout_intf.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\src\video_output\vout_intf.c
39,InterfaceWindow.cpp,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\modules\gui\beos\InterfaceWindow.cpp
40,rgb2rgb_template.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\modules\video_filter\swscale\rgb2rgb_template.c
41,macosx_graphics.cpp,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\modules\gui\skins2\macosx\macosx_graphics.cpp
42,swscale_altivec_template.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\modules\video_filter\swscale\swscale_altivec_template.c
43,puzzle.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\modules\video_filter\puzzle.c
44,flac.c,vlc,Snap_ 29,nan,,nan,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/vlc_snapshots/vlc_29\modules\codec\flac.c
