Id_db,File,System,Version,Package,Release,Class,ExcessiveInterlangCommunication,Too much clustring,Too much Scattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,FilePath
1,rocksjni.cc,rocksdb,Snap_14,,,,0,0,0,0,0,2,9,0,9,0,0,0,0,2,2,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_14\java\rocksjni\rocksjni.cc
2,DbBenchmark.java,rocksdb,Snap_14,org.rocksdb.benchmark,,DbBenchmark,0,0,0,0,0,2,0,0,0,0,5,0,10,0,0,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_14\java\org\rocksdb\benchmark\DbBenchmark.java
3,RocksDB.java,rocksdb,Snap_14,org.rocksdb,,RocksDB,19,1,0,5,0,0,0,0,0,0,4,0,2,0,0,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_14\java\org\rocksdb\RocksDB.java
4,Options.java,rocksdb,Snap_14,org.rocksdb,,Options,146,1,0,3,0,0,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_14\java\org\rocksdb\Options.java
5,options.cc,rocksdb,Snap_14,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_14\java\rocksjni\options.cc
6,portal.h,rocksdb,Snap_14,,,,0,0,0,0,0,0,35,0,35,0,0,0,0,0,0,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_14\java\rocksjni\portal.h
7,statistics.cc,rocksdb,Snap_14,,,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_14\java\rocksjni\statistics.cc
8,NativeLibraryLoader.java,rocksdb,Snap_14,org.rocksdb,,NativeLibraryLoader,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_14\java\org\rocksdb\NativeLibraryLoader.java
9,stringappend2.cc,rocksdb,Snap_14,rocksdb,,,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_14\utilities\merge_operators\string_append\stringappend2.cc
10,db_test.cc,rocksdb,Snap_14,rocksdb,,KeepFilter,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_14\db\db_test.cc
11,document_db.cc,rocksdb,Snap_14,rocksdb,,DocumentDBImpl,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,D:/Mona/new-downloads/rocksdb_snapshots/rocksdb_14\utilities\document\document_db.cc
